Entrez_IDs,Gene_Symbol,d0,d7,d12,d19,d26,d33,d49,d63,d77,Cluster,Radius,Angle,Autism,Holoprosencephaly,Microcephaly,Lissencephaly,Alzheimers,Tauopathy
3949,LDLR,1.5963478372,-0.4134680069,-0.7208543909,-0.4616269206,-0.1403706927,1.8618817353,-0.3940004206,-0.7752472495,-0.5526618913,1,1.5685076866,5.2967271848,no,no,no,no,yes,yes
395,ARHGAP6,-1.1432211262,-0.8833539864,-0.4503025669,-0.4771942675,-0.1826837677,-0.2426485237,0.1189925824,1.4560056021,1.8044060539,6,2.6181694883,1.0805601454,no,no,no,no,no,no
3953,LEPR,-1.4538154301,-1.0665578781,-0.511768893,-0.1827097435,-0.6011178625,0.8012132066,0.491916783,1.1474967843,1.3753430332,5,2.6843148287,1.2412331083,no,no,no,no,no,no
3954,LETM1,2.6050890495,-0.2559686098,-0.1444504347,-0.4338629423,-0.697648089,-0.335529817,0.022537578,-0.5384505756,-0.2217161592,1,2.7611681731,5.3359070441,no,no,yes,no,no,no
3957,LGALS2,-0.6575541423,-0.7057038113,0.3028561639,0.7835753733,-0.8315726384,0.8251221757,0.0639792686,-1.465694607,1.6849922176,4,0.8396917869,1.6482794646,no,no,no,no,no,no
3958,LGALS3,-0.8528058197,-1.1435524785,-0.6737050839,-0.1715375387,-0.591831333,0.0557935801,0.2825572212,1.1878701391,1.9072113136,6,2.7014399913,0.9547867544,no,no,no,no,no,no
3959,LGALS3BP,-0.9705071896,-0.8516412075,-1.0091722829,-0.6868628118,-0.3854413295,0.3589561537,0.7476667531,1.1810338761,1.6159680384,6,2.7300511558,1.0103143355,no,no,no,no,no,no
396,ARHGDIA,2.476009357,-0.4943075101,-0.6910773397,-0.3018626429,-0.7855870519,0.3350582827,-0.1634809238,-0.526472037,0.1517198656,1,2.6475763746,5.5391592539,no,no,no,no,no,no
3973,LHCGR,2.6025009901,-0.803164179,-0.3870756375,-0.0481311268,-0.1521531365,-0.3312001013,-0.3793038277,-0.1338632897,-0.3676096917,1,2.7155636291,5.4493042595,no,no,no,no,no,no
3975,LHX1,0.1447926375,-1.3298471046,1.5124813471,-0.3006999129,-0.9083510712,-0.5625731713,-0.0917883141,-0.098863683,1.6348492724,6,0.9570629665,0.3761677823,no,no,no,no,no,no
